NULL
NULL
NULL
NULL
NULL
NULL
NULL

No pre-processing
Resampling: Cross-Validated (10 fold) 
Summary of sample sizes: 4500, 4500, 4500, 4500, 4500, 4500, ... 
Resampling results across tuning parameters:

  alpha      lambda       RMSE       Rsquared      MAE      
  0.5151515  0.272772727  0.9996423           NaN  0.8008347
  0.5151515  0.277822222  0.9996423           NaN  0.8008347
  0.5151515  0.282871717  0.9996423           NaN  0.8008347
  0.5151515  0.287921212  0.9996423           NaN  0.8008347
  0.5151515  0.292970707  0.9996423           NaN  0.8008347
  0.5151515  0.298020202  0.9996423           NaN  0.8008347
  0.5151515  0.303069697  0.9996423           NaN  0.8008347
  0.5151515  0.308119192  0.9996423           NaN  0.8008347
  0.5151515  0.313168687  0.9996423           NaN  0.8008347
  0.5151515  0.318218182  0.9996423           NaN  0.8008347
  0.5151515  0.323267677  0.9996423           NaN  0.8008347
  0.5151515  0.328317172  0.9996423           NaN  0.8008347
  0.5151515  0.333366667  0.9996423           NaN  0.8008347
  0.5151515  0.338416162  0.9996423           NaN  0.8008347
  0.5151515  0.343465657  0.9996423           NaN  0.8008347
  0.5151515  0.348515152  0.9996423           NaN  0.8008347
  0.5151515  0.353564646  0.9996423           NaN  0.8008347
  0.5151515  0.358614141  0.9996423           NaN  0.8008347
  0.5151515  0.363663636  0.9996423           NaN  0.8008347
  0.5151515  0.368713131  0.9996423           NaN  0.8008347
  0.5151515  0.373762626  0.9996423           NaN  0.8008347
  0.5151515  0.378812121  0.9996423           NaN  0.8008347
  0.5151515  0.383861616  0.9996423           NaN  0.8008347
  0.5151515  0.388911111  0.9996423           NaN  0.8008347
  0.5151515  0.393960606  0.9996423           NaN  0.8008347
  0.5151515  0.399010101  0.9996423           NaN  0.8008347
  0.5151515  0.404059596  0.9996423           NaN  0.8008347
  0.5151515  0.409109091  0.9996423           NaN  0.8008347
  0.5151515  0.414158586  0.9996423           NaN  0.8008347
  0.5151515  0.419208081  0.9996423           NaN  0.8008347
  0.5151515  0.424257576  0.9996423           NaN  0.8008347
  0.5151515  0.429307071  0.9996423           NaN  0.8008347
  0.5151515  0.434356566  0.9996423           NaN  0.8008347
  0.5151515  0.439406061  0.9996423           NaN  0.8008347
  0.5151515  0.444455556  0.9996423           NaN  0.8008347
  0.5151515  0.449505051  0.9996423           NaN  0.8008347
  0.5151515  0.454554545  0.9996423           NaN  0.8008347
  0.5151515  0.459604040  0.9996423           NaN  0.8008347
  0.5151515  0.464653535  0.9996423           NaN  0.8008347
  0.5151515  0.469703030  0.9996423           NaN  0.8008347
  0.5151515  0.474752525  0.9996423           NaN  0.8008347
  0.5151515  0.479802020  0.9996423           NaN  0.8008347
  0.5151515  0.484851515  0.9996423           NaN  0.8008347
  0.5151515  0.489901010  0.9996423           NaN  0.8008347
  0.5151515  0.494950505  0.9996423           NaN  0.8008347
  0.5151515  0.500000000  0.9996423           NaN  0.8008347
  0.5202020  0.000100000  1.0155150  0.0100352306  0.8122767
  0.5202020  0.005149495  1.0089159  0.0105047371  0.8071915
  0.5202020  0.010198990  1.0039371  0.0109391097  0.8035498
  0.5202020  0.015248485  1.0006396  0.0110088525  0.8011516
  0.5202020  0.020297980  0.9984882  0.0109905716  0.7994423
  0.5202020  0.025347475  0.9970970  0.0111273526  0.7984779
  0.5202020  0.030396970  0.9961321  0.0113660906  0.7979560
  0.5202020  0.035446465  0.9955115  0.0117667164  0.7977136
  0.5202020  0.040495960  0.9952591  0.0121324739  0.7976243
  0.5202020  0.045545455  0.9954412  0.0120612961  0.7979224
  0.5202020  0.050594949  0.9960131  0.0111355261  0.7984458
  0.5202020  0.055644444  0.9967527  0.0097648435  0.7990416
  0.5202020  0.060693939  0.9975099  0.0082485141  0.7996222
  0.5202020  0.065743434  0.9981455  0.0069919833  0.8000664
  0.5202020  0.070792929  0.9986272  0.0059356987  0.8003737
  0.5202020  0.075842424  0.9989838  0.0049434161  0.8005908
  0.5202020  0.080891919  0.9992593  0.0037474171  0.8007426
  0.5202020  0.085941414  0.9994507  0.0024969835  0.8008374
  0.5202020  0.090990909  0.9995365  0.0019489396  0.8008513
  0.5202020  0.096040404  0.9995875  0.0018905311  0.8008443
  0.5202020  0.101089899  0.9996262  0.0016093877  0.8008516
  0.5202020  0.106139394  0.9996556  0.0016005974  0.8008543
  0.5202020  0.111188889  0.9996652  0.0009659235  0.8008562
  0.5202020  0.116238384  0.9996558  0.0001282626  0.8008476
  0.5202020  0.121287879  0.9996468  0.0001282626  0.8008401
  0.5202020  0.126337374  0.9996423           NaN  0.8008347
  0.5202020  0.131386869  0.9996423           NaN  0.8008347
  0.5202020  0.136436364  0.9996423           NaN  0.8008347
  0.5202020  0.141485859  0.9996423           NaN  0.8008347
  0.5202020  0.146535354  0.9996423           NaN  0.8008347
  0.5202020  0.151584848  0.9996423           NaN  0.8008347
  0.5202020  0.156634343  0.9996423           NaN  0.8008347
  0.5202020  0.161683838  0.9996423           NaN  0.8008347
  0.5202020  0.166733333  0.9996423           NaN  0.8008347
  0.5202020  0.171782828  0.9996423           NaN  0.8008347
  0.5202020  0.176832323  0.9996423           NaN  0.8008347
  0.5202020  0.181881818  0.9996423           NaN  0.8008347
  0.5202020  0.186931313  0.9996423           NaN  0.8008347
  0.5202020  0.191980808  0.9996423           NaN  0.8008347
  0.5202020  0.197030303  0.9996423           NaN  0.8008347
  0.5202020  0.202079798  0.9996423           NaN  0.8008347
  0.5202020  0.207129293  0.9996423           NaN  0.8008347
  0.5202020  0.212178788  0.9996423           NaN  0.8008347
  0.5202020  0.217228283  0.9996423           NaN  0.8008347
  0.5202020  0.222277778  0.9996423           NaN  0.8008347
  0.5202020  0.227327273  0.9996423           NaN  0.8008347
  0.5202020  0.232376768  0.9996423           NaN  0.8008347
  0.5202020  0.237426263  0.9996423           NaN  0.8008347
  0.5202020  0.242475758  0.9996423           NaN  0.8008347
  0.5202020  0.247525253  0.9996423           NaN  0.8008347
  0.5202020  0.252574747  0.9996423           NaN  0.8008347
