glmnet 

3836 samples
 256 predictor

No pre-processing
Resampling: Cross-Validated (10 fold) 
Summary of sample sizes: 3452, 3452, 3452, 3453, 3454, 3453, ... 
Resampling results across tuning parameters:

  alpha      lambda       RMSE      Rsquared     MAE     
  0.5151515  0.232376768  25.02155  0.009464974  20.02051
  0.5151515  0.237426263  25.01568  0.009486113  20.01558
  0.5151515  0.242475758  25.00983  0.009508996  20.01064
  0.5151515  0.247525253  25.00403  0.009532933  20.00570
  0.5151515  0.252574747  24.99827  0.009558019  20.00072
  0.5151515  0.257624242  24.99257  0.009583447  19.99580
  0.5151515  0.262673737  24.98695  0.009609019  19.99093
  0.5151515  0.267723232  24.98135  0.009636040  19.98613
  0.5151515  0.272772727  24.97587  0.009661791  19.98145
  0.5151515  0.277822222  24.97042  0.009689462  19.97672
  0.5151515  0.282871717  24.96503  0.009717719  19.97206
  0.5151515  0.287921212  24.95976  0.009745334  19.96755
  0.5151515  0.292970707  24.95456  0.009772846  19.96320
  0.5151515  0.298020202  24.94940  0.009801392  19.95888
  0.5151515  0.303069697  24.94432  0.009828133  19.95459
  0.5151515  0.308119192  24.93925  0.009856856  19.95026
  0.5151515  0.313168687  24.93419  0.009886876  19.94600
  0.5151515  0.318218182  24.92916  0.009917756  19.94172
  0.5151515  0.323267677  24.92418  0.009949472  19.93743
  0.5151515  0.328317172  24.91927  0.009981231  19.93316
  0.5151515  0.333366667  24.91449  0.010009846  19.92890
  0.5151515  0.338416162  24.90977  0.010038237  19.92467
  0.5151515  0.343465657  24.90511  0.010066865  19.92043
  0.5151515  0.348515152  24.90049  0.010096173  19.91617
  0.5151515  0.353564646  24.89593  0.010125069  19.91197
  0.5151515  0.358614141  24.89146  0.010152726  19.90785
  0.5151515  0.363663636  24.88705  0.010179399  19.90378
  0.5151515  0.368713131  24.88272  0.010205497  19.89980
  0.5151515  0.373762626  24.87844  0.010231698  19.89590
  0.5151515  0.378812121  24.87427  0.010255772  19.89202
  0.5151515  0.383861616  24.87017  0.010279029  19.88818
  0.5151515  0.388911111  24.86614  0.010301596  19.88440
  0.5151515  0.393960606  24.86216  0.010324462  19.88073
  0.5151515  0.399010101  24.85822  0.010348309  19.87712
  0.5151515  0.404059596  24.85436  0.010371352  19.87366
  0.5151515  0.409109091  24.85058  0.010394485  19.87032
  0.5151515  0.414158586  24.84685  0.010418699  19.86702
  0.5151515  0.419208081  24.84318  0.010442373  19.86378
  0.5151515  0.424257576  24.83962  0.010463150  19.86061
  0.5151515  0.429307071  24.83609  0.010483821  19.85740
  0.5151515  0.434356566  24.83257  0.010505532  19.85420
  0.5151515  0.439406061  24.82911  0.010525811  19.85106
  0.5151515  0.444455556  24.82570  0.010546152  19.84797
  0.5151515  0.449505051  24.82237  0.010566425  19.84499
  0.5151515  0.454554545  24.81907  0.010587418  19.84204
  0.5151515  0.459604040  24.81581  0.010609362  19.83916
  0.5151515  0.464653535  24.81260  0.010630886  19.83630
  0.5151515  0.469703030  24.80945  0.010652294  19.83349
  0.5151515  0.474752525  24.80630  0.010674557  19.83068
  0.5151515  0.479802020  24.80321  0.010695882  19.82791
  0.5151515  0.484851515  24.80022  0.010713215  19.82532
  0.5151515  0.489901010  24.79730  0.010729485  19.82278
  0.5151515  0.494950505  24.79442  0.010745370  19.82028
  0.5151515  0.500000000  24.79158  0.010761332  19.81782
  0.5202020  0.000100000  25.35920  0.008837996  20.29007
  0.5202020  0.005149495  25.35920  0.008837996  20.29007
  0.5202020  0.010198990  25.35035  0.008849355  20.28343
  0.5202020  0.015248485  25.34093  0.008860473  20.27632
  0.5202020  0.020297980  25.33159  0.008872076  20.26930
  0.5202020  0.025347475  25.32234  0.008884607  20.26236
  0.5202020  0.030396970  25.31314  0.008897862  20.25544
  0.5202020  0.035446465  25.30404  0.008910957  20.24852
  0.5202020  0.040495960  25.29501  0.008923606  20.24167
  0.5202020  0.045545455  25.28605  0.008937084  20.23482
  0.5202020  0.050594949  25.27715  0.008951699  20.22802
  0.5202020  0.055644444  25.26832  0.008966685  20.22129
  0.5202020  0.060693939  25.25962  0.008981864  20.21459
  0.5202020  0.065743434  25.25105  0.008996992  20.20804
  0.5202020  0.070792929  25.24261  0.009011240  20.20150
  0.5202020  0.075842424  25.23431  0.009025106  20.19499
  0.5202020  0.080891919  25.22593  0.009039878  20.18840
  0.5202020  0.085941414  25.21763  0.009055556  20.18200
  0.5202020  0.090990909  25.20952  0.009071886  20.17569
  0.5202020  0.096040404  25.20158  0.009087700  20.16943
  0.5202020  0.101089899  25.19366  0.009103171  20.16316
  0.5202020  0.106139394  25.18584  0.009118198  20.15687
  0.5202020  0.111188889  25.17804  0.009134713  20.15060
  0.5202020  0.116238384  25.17035  0.009150836  20.14432
  0.5202020  0.121287879  25.16269  0.009168590  20.13809
  0.5202020  0.126337374  25.15510  0.009186322  20.13188
  0.5202020  0.131386869  25.14764  0.009203412  20.12570
  0.5202020  0.136436364  25.14030  0.009219863  20.11959
  0.5202020  0.141485859  25.13317  0.009232794  20.11357
  0.5202020  0.146535354  25.12616  0.009244674  20.10770
  0.5202020  0.151584848  25.11927  0.009256173  20.10196
  0.5202020  0.156634343  25.11249  0.009266947  20.09627
  0.5202020  0.161683838  25.10581  0.009277491  20.09067
  0.5202020  0.166733333  25.09925  0.009286886  20.08518
  0.5202020  0.171782828  25.09276  0.009297368  20.07972
  0.5202020  0.176832323  25.08633  0.009308995  20.07433
  0.5202020  0.181881818  25.07997  0.009320500  20.06905
  0.5202020  0.186931313  25.07365  0.009333120  20.06389
  0.5202020  0.191980808  25.06739  0.009345848  20.05877
  0.5202020  0.197030303  25.06121  0.009358686  20.05369
  0.5202020  0.202079798  25.05507  0.009372207  20.04862
  0.5202020  0.207129293  25.04896  0.009387106  20.04348
  0.5202020  0.212178788  25.04290  0.009402580  20.03836
  0.5202020  0.217228283  25.03693  0.009416999  20.03337
  0.5202020  0.222277778  25.03098  0.009433272  20.02842
  0.5202020  0.227327273  25.02497  0.009453245  20.02338
  0.5202020  0.232376768  25.01899  0.009474780  20.01836
  0.5202020  0.237426263  25.01308  0.009496588  20.01339
  0.5202020  0.242475758  25.00719  0.009520349  20.00839
  0.5202020  0.247525253  25.00136  0.009544907  20.00339
  0.5202020  0.252574747  24.99556  0.009570638  19.99839
  0.5202020  0.257624242  24.98987  0.009595793  19.99346
  0.5202020  0.262673737  24.98419  0.009622833  19.98855
  0.5202020  0.267723232  24.97860  0.009649468  19.98379
  0.5202020  0.272772727  24.97309  0.009676326  19.97903
  0.5202020  0.277822222  24.96760  0.009704722  19.97428
  0.5202020  0.282871717  24.96223  0.009733276  19.96964
  0.5202020  0.287921212  24.95696  0.009760573  19.96519
  0.5202020  0.292970707  24.95173  0.009789129  19.96083
  0.5202020  0.298020202  24.94657  0.009816748  19.95649
  0.5202020  0.303069697  24.94143  0.009845123  19.95213
  0.5202020  0.308119192  24.93633  0.009874704  19.94780
  0.5202020  0.313168687  24.93123  0.009905744  19.94348
  0.5202020  0.318218182  24.92619  0.009937262  19.93916
  0.5202020  0.323267677  24.92119  0.009969683  19.93484
